date,tank,community,adj_eth_area,dispersal,wattage,metacommunity,treatment_rep,temp_mean,temp_max,temp_sd,temp_min,degree_hrs,bluegreen,chl_a_fluoro,cryptophyta,diatoms,green_algae,yellow_substances,experiment,inc.start.time,inc.stop.time,light.start.lux,inc_meanT,inc_maxT,inc_minT,week,nitrate,phosphate,ammonium,total_n,n_to_p,mean_chla,sd_chla,NPP,R,GPP,net_troph,total_adj_eth_area,total_chla,mass_specific_NPP
2018-08-13,43,peri,1.67356667262,none,300,11,4,24.651041666666668,27.07,1.4261330760834698,22.61,85194,0.67,4.52,0.77,0,3.08,1.87,TRUE,14:31:00,16:39:00,860,26.878333333333334,27.07,26.51,2,0,0.7894175301293364,3.9630734975538364,3.9630734975538364,5.0202501797806995,106.9,3.9880822458921283,1.7699999999999996,-1.4900000000000002,0.27999999999999936,autotrophic,249.88850001786,114.67500000000001,0.015434924787442768
2018-08-13,42,peri,2.76806667262,none,100,11,4,22.293819444444445,25.09,1.7014978989228429,19.95,77047.44,0.22,4.97,0.64,0,4.1,1.41,TRUE,14:15:00,16:25:00,965,24.53,25.01,23.81,2,0.9907190012022986,0,0,0.9907190012022986,Inf,40.629999999999995,1.4424978336205563,1.3100000000000005,-1.0300000000000011,0.27999999999999936,autotrophic,34.699100017860005,47.785,0.02741446060479231
2018-08-13,5,peri,5.07456667262,none,200,2,1,23.10673611111111,25.99,1.7654416947121558,20.68,79856.88,1.01,37.55,0.14,0,36.41,1.73,TRUE,10:59:00,13:05:00,655,22.575714285714287,23.55,21.7,2,0,0,0,0,NaN,10.035,0.30405591591021525,1.2199999999999989,-1.2899999999999991,-0.07000000000000028,autotrophic,21.26210001786,16.34,0.0746634026927784
2018-08-13,35,h2o,3.2147666726199997,none,300,9,3,24.867847222222224,28.44,2.085739513734414,22.09,85943.28,2.82,59.15,0.07,0,56.26,1.86,TRUE,13:18:00,15:22:00,870,27.021538461538462,27.88,25.99,2,4.4925965155764915,0,0,4.4925965155764915,Inf,NA,NA,2.120000000000001,-2,0.120000000000001,autotrophic,22.849300017860003,0,Inf
2018-08-13,33,h2o,3.19186667262,none,0,9,3,21.26673611111111,24.15,1.7315750661163836,18.92,73497.84,0,19.68,0.94,0,18.74,1.1,TRUE,12:54:00,14:58:00,893,22.32846153846154,23.16,21.4,2,1.1234175941576285,0.3110996842181644,0.4780294563328566,1.6014470504904852,5.147697447894035,NA,NA,1.5,-1.08,0.41999999999999993,autotrophic,31.614200017860004,20.775,0.07220216606498195
2018-08-13,43,sed,245.18276667262,none,300,11,4,24.651041666666668,27.07,1.4261330760834698,22.61,85194,0.67,4.52,0.77,0,3.08,1.87,TRUE,14:31:00,16:39:00,860,26.878333333333334,27.07,26.51,2,0,0.7894175301293364,3.9630734975538364,3.9630734975538364,5.0202501797806995,NA,NA,1.7699999999999996,-1.4900000000000002,0.27999999999999936,autotrophic,249.88850001786,114.67500000000001,0.015434924787442768
2018-08-13,44,sed,73.84956667262,none,200,11,4,23.548541666666665,26.3,1.670771342635081,21.19,81383.76,1.12,1.91,0.42,0,0.37,1.98,TRUE,14:48:00,16:50:00,814,26.071538461538463,26.3,25.57,2,0.17372437023056128,1.1377855218634974,0,0.17372437023056128,0.1526863955396713,NA,NA,1.7199999999999989,-1.33,0.3899999999999988,autotrophic,80.39120001786,57.705,0.02980677584264793
2018-08-17,5,peri,4.11786667262,none,200,2,1,24.195625,27.8,2.2262517399073634,20.85,83620.08,NA,NA,NA,NA,NA,NA,TRUE,14:33:00,16:39:00,1360,27.13692307692308,27.71,26.3,2,0.3325580801556457,0.9385132381612815,0,0.3325580801556457,0.3543456465325812,22.03,0.07071067811865325,1.700000000000001,-1.200000000000001,0.5,autotrophic,11.66100001786,30.655,0.05545587995433048
2018-08-13,34,h2o,3.21216667262,none,100,9,3,22.290416666666665,25.22,1.809483902389572,19.86,77035.68000000001,0.5,14.56,0,0,14.06,1.48,TRUE,12:31:00,14:39:00,912,22.926666666666666,23.85,22.01,2,0,0.8600946678344281,0.9891108094250254,0.9891108094250254,1.1500022572113346,13.434999999999999,0.09192388155425173,1.75,-1.4499999999999993,0.3000000000000007,autotrophic,307.56120001786,61.459999999999994,0.028473804100227793
2018-08-13,42,h2o,3.36466667262,none,100,11,4,22.293819444444445,25.09,1.7014978989228429,19.95,77047.44,0.22,4.97,0.64,0,4.1,1.41,TRUE,14:15:00,16:25:00,965,24.53,25.01,23.81,2,0.9907190012022986,0,0,0.9907190012022986,Inf,7.154999999999999,0.0212132034355966,1.3100000000000005,-1.0300000000000011,0.27999999999999936,autotrophic,34.699100017860005,47.785,0.02741446060479231
